Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	2955.0	27.690	0.036115	5.9870	16.800	30.116	34.962	46.690	2049.6	-0.10395	undefined	undefined	supercritical
298.00	2970.0	27.720	0.036075	5.9843	16.841	30.068	34.980	46.691	2053.8	-0.10394	undefined	undefined	supercritical
298.00	2985.0	27.750	0.036036	5.9817	16.881	30.020	34.998	46.692	2057.9	-0.10394	undefined	undefined	supercritical
298.00	3000.0	27.779	0.035998	5.9791	16.922	29.972	35.016	46.693	2062.1	-0.10394	undefined	undefined	supercritical
298.00	3015.0	27.809	0.035959	5.9766	16.962	29.924	35.034	46.694	2066.2	-0.10393	undefined	undefined	supercritical
298.00	3030.0	27.839	0.035921	5.9740	17.002	29.877	35.052	46.695	2070.3	-0.10393	undefined	undefined	supercritical
298.00	3045.0	27.868	0.035883	5.9716	17.043	29.829	35.070	46.696	2074.4	-0.10392	undefined	undefined	supercritical
298.00	3060.0	27.897	0.035846	5.9691	17.083	29.782	35.088	46.697	2078.4	-0.10392	undefined	undefined	supercritical
298.00	3075.0	27.926	0.035808	5.9667	17.124	29.735	35.106	46.698	2082.5	-0.10391	undefined	undefined	supercritical
298.00	3090.0	27.955	0.035771	5.9644	17.164	29.688	35.124	46.700	2086.5	-0.10390	undefined	undefined	supercritical
298.00	3105.0	27.984	0.035734	5.9621	17.205	29.641	35.141	46.701	2090.6	-0.10390	undefined	undefined	supercritical
298.00	3120.0	28.013	0.035698	5.9598	17.245	29.595	35.159	46.703	2094.6	-0.10389	undefined	undefined	supercritical
298.00	3135.0	28.042	0.035661	5.9575	17.285	29.549	35.177	46.704	2098.6	-0.10388	undefined	undefined	supercritical
298.00	3150.0	28.070	0.035625	5.9553	17.326	29.503	35.194	46.705	2102.6	-0.10387	undefined	undefined	supercritical
298.00	3165.0	28.098	0.035589	5.9531	17.366	29.457	35.212	46.707	2106.5	-0.10386	undefined	undefined	supercritical
298.00	3180.0	28.127	0.035553	5.9510	17.407	29.411	35.229	46.709	2110.5	-0.10385	undefined	undefined	supercritical
298.00	3195.0	28.155	0.035518	5.9489	17.447	29.365	35.247	46.710	2114.5	-0.10384	undefined	undefined	supercritical
298.00	3210.0	28.183	0.035483	5.9468	17.488	29.320	35.264	46.712	2118.4	-0.10383	undefined	undefined	supercritical
298.00	3225.0	28.211	0.035447	5.9448	17.528	29.275	35.281	46.714	2122.3	-0.10382	undefined	undefined	supercritical
298.00	3240.0	28.239	0.035413	5.9427	17.568	29.229	35.299	46.715	2126.2	-0.10381	undefined	undefined	supercritical
298.00	3255.0	28.266	0.035378	5.9408	17.609	29.185	35.316	46.717	2130.1	-0.10380	undefined	undefined	supercritical
298.00	3270.0	28.294	0.035343	5.9388	17.649	29.140	35.333	46.719	2134.0	-0.10378	undefined	undefined	supercritical
298.00	3285.0	28.321	0.035309	5.9369	17.690	29.095	35.350	46.721	2137.9	-0.10377	undefined	undefined	supercritical
298.00	3300.0	28.349	0.035275	5.9350	17.730	29.051	35.367	46.723	2141.7	-0.10376	undefined	undefined	supercritical
298.00	3315.0	28.376	0.035241	5.9332	17.770	29.006	35.384	46.725	2145.6	-0.10375	undefined	undefined	supercritical
298.00	3330.0	28.403	0.035208	5.9314	17.811	28.962	35.401	46.727	2149.4	-0.10373	undefined	undefined	supercritical
298.00	3345.0	28.430	0.035174	5.9296	17.851	28.918	35.418	46.729	2153.2	-0.10372	undefined	undefined	supercritical
298.00	3360.0	28.457	0.035141	5.9278	17.892	28.875	35.435	46.731	2157.0	-0.10370	undefined	undefined	supercritical
298.00	3375.0	28.484	0.035108	5.9261	17.932	28.831	35.451	46.733	2160.8	-0.10369	undefined	undefined	supercritical
298.00	3390.0	28.510	0.035075	5.9244	17.972	28.788	35.468	46.735	2164.6	-0.10367	undefined	undefined	supercritical
298.00	3405.0	28.537	0.035042	5.9228	18.013	28.744	35.485	46.737	2168.4	-0.10366	undefined	undefined	supercritical
298.00	3420.0	28.563	0.035010	5.9211	18.053	28.701	35.502	46.740	2172.1	-0.10364	undefined	undefined	supercritical
298.00	3435.0	28.590	0.034977	5.9195	18.094	28.658	35.518	46.742	2175.9	-0.10363	undefined	undefined	supercritical
298.00	3450.0	28.616	0.034945	5.9180	18.134	28.615	35.535	46.744	2179.6	-0.10361	undefined	undefined	supercritical
298.00	3465.0	28.642	0.034913	5.9164	18.174	28.572	35.551	46.747	2183.3	-0.10359	undefined	undefined	supercritical
298.00	3480.0	28.668	0.034882	5.9149	18.215	28.530	35.568	46.749	2187.1	-0.10358	undefined	undefined	supercritical
298.00	3495.0	28.694	0.034850	5.9134	18.255	28.487	35.584	46.751	2190.8	-0.10356	undefined	undefined	supercritical
298.00	3510.0	28.720	0.034819	5.9120	18.295	28.445	35.600	46.754	2194.4	-0.10354	undefined	undefined	supercritical
298.00	3525.0	28.746	0.034787	5.9106	18.336	28.403	35.617	46.756	2198.1	-0.10352	undefined	undefined	supercritical
298.00	3540.0	28.772	0.034756	5.9092	18.376	28.361	35.633	46.759	2201.8	-0.10350	undefined	undefined	supercritical
298.00	3555.0	28.797	0.034725	5.9078	18.416	28.319	35.649	46.761	2205.5	-0.10349	undefined	undefined	supercritical
298.00	3570.0	28.823	0.034695	5.9065	18.457	28.277	35.665	46.764	2209.1	-0.10347	undefined	undefined	supercritical
298.00	3585.0	28.848	0.034664	5.9051	18.497	28.236	35.682	46.767	2212.7	-0.10345	undefined	undefined	supercritical
298.00	3600.0	28.874	0.034634	5.9039	18.537	28.194	35.698	46.769	2216.4	-0.10343	undefined	undefined	supercritical
298.00	3615.0	28.899	0.034604	5.9026	18.578	28.153	35.714	46.772	2220.0	-0.10341	undefined	undefined	supercritical
298.00	3630.0	28.924	0.034573	5.9014	18.618	28.112	35.730	46.775	2223.6	-0.10339	undefined	undefined	supercritical
298.00	3645.0	28.949	0.034544	5.9002	18.658	28.071	35.746	46.777	2227.2	-0.10337	undefined	undefined	supercritical
298.00	3660.0	28.974	0.034514	5.8990	18.698	28.030	35.762	46.780	2230.7	-0.10335	undefined	undefined	supercritical
298.00	3675.0	28.999	0.034484	5.8978	18.739	27.989	35.777	46.783	2234.3	-0.10333	undefined	undefined	supercritical
298.00	3690.0	29.024	0.034455	5.8967	18.779	27.949	35.793	46.786	2237.9	-0.10331	undefined	undefined	supercritical
298.00	3705.0	29.048	0.034426	5.8956	18.819	27.908	35.809	46.789	2241.4	-0.10329	undefined	undefined	supercritical
298.00	3720.0	29.073	0.034396	5.8945	18.860	27.868	35.825	46.791	2245.0	-0.10327	undefined	undefined	supercritical
298.00	3735.0	29.097	0.034367	5.8935	18.900	27.828	35.840	46.794	2248.5	-0.10324	undefined	undefined	supercritical
298.00	3750.0	29.122	0.034339	5.8925	18.940	27.787	35.856	46.797	2252.0	-0.10322	undefined	undefined	supercritical
298.00	3765.0	29.146	0.034310	5.8915	18.980	27.747	35.872	46.800	2255.5	-0.10320	undefined	undefined	supercritical
298.00	3780.0	29.170	0.034281	5.8905	19.021	27.708	35.887	46.803	2259.0	-0.10318	undefined	undefined	supercritical
298.00	3795.0	29.194	0.034253	5.8895	19.061	27.668	35.903	46.806	2262.5	-0.10316	undefined	undefined	supercritical
298.00	3810.0	29.219	0.034225	5.8886	19.101	27.628	35.918	46.809	2266.0	-0.10314	undefined	undefined	supercritical
298.00	3825.0	29.243	0.034197	5.8877	19.141	27.589	35.934	46.812	2269.5	-0.10311	undefined	undefined	supercritical
298.00	3840.0	29.267	0.034169	5.8868	19.181	27.549	35.949	46.815	2272.9	-0.10309	undefined	undefined	supercritical
298.00	3855.0	29.290	0.034141	5.8860	19.222	27.510	35.965	46.818	2276.4	-0.10307	undefined	undefined	supercritical
298.00	3870.0	29.314	0.034113	5.8851	19.262	27.471	35.980	46.821	2279.8	-0.10304	undefined	undefined	supercritical
298.00	3885.0	29.338	0.034086	5.8843	19.302	27.432	35.995	46.825	2283.3	-0.10302	undefined	undefined	supercritical
298.00	3900.0	29.361	0.034058	5.8836	19.342	27.393	36.010	46.828	2286.7	-0.10300	undefined	undefined	supercritical
298.00	3915.0	29.385	0.034031	5.8828	19.382	27.354	36.026	46.831	2290.1	-0.10297	undefined	undefined	supercritical
298.00	3930.0	29.408	0.034004	5.8821	19.423	27.316	36.041	46.834	2293.5	-0.10295	undefined	undefined	supercritical
298.00	3945.0	29.432	0.033977	5.8813	19.463	27.277	36.056	46.837	2296.9	-0.10293	undefined	undefined	supercritical
298.00	3960.0	29.455	0.033950	5.8806	19.503	27.239	36.071	46.841	2300.3	-0.10290	undefined	undefined	supercritical
298.00	3975.0	29.478	0.033923	5.8800	19.543	27.200	36.086	46.844	2303.7	-0.10288	undefined	undefined	supercritical
298.00	3990.0	29.501	0.033897	5.8793	19.583	27.162	36.101	46.847	2307.0	-0.10285	undefined	undefined	supercritical
298.00	4005.0	29.524	0.033870	5.8787	19.623	27.124	36.116	46.851	2310.4	-0.10283	undefined	undefined	supercritical
298.00	4020.0	29.547	0.033844	5.8781	19.664	27.086	36.131	46.854	2313.7	-0.10280	undefined	undefined	supercritical
298.00	4035.0	29.570	0.033818	5.8775	19.704	27.048	36.146	46.857	2317.1	-0.10278	undefined	undefined	supercritical
298.00	4050.0	29.593	0.033792	5.8770	19.744	27.011	36.161	46.861	2320.4	-0.10275	undefined	undefined	supercritical
298.00	4065.0	29.616	0.033766	5.8764	19.784	26.973	36.176	46.864	2323.7	-0.10273	undefined	undefined	supercritical
298.00	4080.0	29.639	0.033740	5.8759	19.824	26.935	36.191	46.867	2327.0	-0.10270	undefined	undefined	supercritical
298.00	4095.0	29.661	0.033714	5.8754	19.864	26.898	36.205	46.871	2330.3	-0.10268	undefined	undefined	supercritical
298.00	4110.0	29.684	0.033688	5.8749	19.904	26.861	36.220	46.874	2333.6	-0.10265	undefined	undefined	supercritical
298.00	4125.0	29.706	0.033663	5.8745	19.944	26.823	36.235	46.878	2336.9	-0.10263	undefined	undefined	supercritical
298.00	4140.0	29.729	0.033638	5.8741	19.985	26.786	36.249	46.881	2340.2	-0.10260	undefined	undefined	supercritical
298.00	4155.0	29.751	0.033612	5.8736	20.025	26.749	36.264	46.885	2343.5	-0.10258	undefined	undefined	supercritical
298.00	4170.0	29.773	0.033587	5.8733	20.065	26.712	36.279	46.888	2346.7	-0.10255	undefined	undefined	supercritical
298.00	4185.0	29.795	0.033562	5.8729	20.105	26.676	36.293	46.892	2350.0	-0.10252	undefined	undefined	supercritical
298.00	4200.0	29.818	0.033537	5.8725	20.145	26.639	36.308	46.895	2353.2	-0.10250	undefined	undefined	supercritical
298.00	4215.0	29.840	0.033512	5.8722	20.185	26.602	36.322	46.899	2356.5	-0.10247	undefined	undefined	supercritical
298.00	4230.0	29.862	0.033488	5.8719	20.225	26.566	36.337	46.902	2359.7	-0.10244	undefined	undefined	supercritical
298.00	4245.0	29.884	0.033463	5.8716	20.265	26.529	36.351	46.906	2362.9	-0.10242	undefined	undefined	supercritical
298.00	4260.0	29.905	0.033439	5.8713	20.305	26.493	36.365	46.910	2366.1	-0.10239	undefined	undefined	supercritical
298.00	4275.0	29.927	0.033414	5.8711	20.345	26.457	36.380	46.913	2369.3	-0.10236	undefined	undefined	supercritical
298.00	4290.0	29.949	0.033390	5.8708	20.385	26.421	36.394	46.917	2372.5	-0.10234	undefined	undefined	supercritical
298.00	4305.0	29.971	0.033366	5.8706	20.425	26.385	36.408	46.921	2375.7	-0.10231	undefined	undefined	supercritical
298.00	4320.0	29.992	0.033342	5.8704	20.465	26.349	36.423	46.924	2378.9	-0.10228	undefined	undefined	supercritical
298.00	4335.0	30.014	0.033318	5.8703	20.505	26.313	36.437	46.928	2382.1	-0.10226	undefined	undefined	supercritical
298.00	4350.0	30.035	0.033294	5.8701	20.545	26.278	36.451	46.932	2385.3	-0.10223	undefined	undefined	supercritical
298.00	4365.0	30.057	0.033270	5.8700	20.585	26.242	36.465	46.935	2388.4	-0.10220	undefined	undefined	supercritical
298.00	4380.0	30.078	0.033247	5.8699	20.625	26.206	36.479	46.939	2391.6	-0.10217	undefined	undefined	supercritical
298.00	4395.0	30.099	0.033223	5.8698	20.665	26.171	36.493	46.943	2394.7	-0.10215	undefined	undefined	supercritical
298.00	4410.0	30.121	0.033200	5.8697	20.705	26.136	36.507	46.947	2397.8	-0.10212	undefined	undefined	supercritical
298.00	4425.0	30.142	0.033177	5.8696	20.745	26.101	36.521	46.951	2401.0	-0.10209	undefined	undefined	supercritical
298.00	4440.0	30.163	0.033153	5.8696	20.785	26.065	36.535	46.954	2404.1	-0.10206	undefined	undefined	supercritical
298.00	4455.0	30.184	0.033130	5.8695	20.825	26.030	36.549	46.958	2407.2	-0.10204	undefined	undefined	supercritical
298.00	4470.0	30.205	0.033107	5.8695	20.865	25.995	36.563	46.962	2410.3	-0.10201	undefined	undefined	supercritical
298.00	4485.0	30.226	0.033084	5.8695	20.905	25.961	36.577	46.966	2413.4	-0.10198	undefined	undefined	supercritical
298.00	4500.0	30.247	0.033062	5.8696	20.944	25.926	36.591	46.970	2416.5	-0.10195	undefined	undefined	supercritical
298.00	4515.0	30.267	0.033039	5.8696	20.984	25.891	36.605	46.974	2419.6	-0.10192	undefined	undefined	supercritical
298.00	4530.0	30.288	0.033016	5.8697	21.024	25.857	36.618	46.977	2422.7	-0.10189	undefined	undefined	supercritical
298.00	4545.0	30.309	0.032994	5.8697	21.064	25.822	36.632	46.981	2425.7	-0.10187	undefined	undefined	supercritical
298.00	4560.0	30.329	0.032971	5.8698	21.104	25.788	36.646	46.985	2428.8	-0.10184	undefined	undefined	supercritical
298.00	4575.0	30.350	0.032949	5.8700	21.144	25.753	36.660	46.989	2431.8	-0.10181	undefined	undefined	supercritical
298.00	4590.0	30.370	0.032927	5.8701	21.184	25.719	36.673	46.993	2434.9	-0.10178	undefined	undefined	supercritical
298.00	4605.0	30.391	0.032905	5.8702	21.224	25.685	36.687	46.997	2437.9	-0.10175	undefined	undefined	supercritical
298.00	4620.0	30.411	0.032883	5.8704	21.263	25.651	36.701	47.001	2441.0	-0.10172	undefined	undefined	supercritical
298.00	4635.0	30.432	0.032861	5.8706	21.303	25.617	36.714	47.005	2444.0	-0.10169	undefined	undefined	supercritical
298.00	4650.0	30.452	0.032839	5.8708	21.343	25.583	36.728	47.009	2447.0	-0.10167	undefined	undefined	supercritical
298.00	4665.0	30.472	0.032817	5.8710	21.383	25.549	36.741	47.013	2450.0	-0.10164	undefined	undefined	supercritical
298.00	4680.0	30.492	0.032795	5.8712	21.423	25.516	36.755	47.017	2453.0	-0.10161	undefined	undefined	supercritical
298.00	4695.0	30.512	0.032774	5.8715	21.463	25.482	36.768	47.021	2456.0	-0.10158	undefined	undefined	supercritical
298.00	4710.0	30.532	0.032752	5.8717	21.502	25.448	36.782	47.025	2459.0	-0.10155	undefined	undefined	supercritical
298.00	4725.0	30.552	0.032731	5.8720	21.542	25.415	36.795	47.029	2462.0	-0.10152	undefined	undefined	supercritical
298.00	4740.0	30.572	0.032709	5.8723	21.582	25.382	36.808	47.033	2465.0	-0.10149	undefined	undefined	supercritical
298.00	4755.0	30.592	0.032688	5.8726	21.622	25.348	36.822	47.037	2468.0	-0.10146	undefined	undefined	supercritical
298.00	4770.0	30.612	0.032667	5.8729	21.661	25.315	36.835	47.041	2470.9	-0.10143	undefined	undefined	supercritical
298.00	4785.0	30.632	0.032646	5.8733	21.701	25.282	36.848	47.045	2473.9	-0.10140	undefined	undefined	supercritical
298.00	4800.0	30.652	0.032625	5.8736	21.741	25.249	36.861	47.049	2476.8	-0.10137	undefined	undefined	supercritical
298.00	4815.0	30.671	0.032604	5.8740	21.781	25.216	36.875	47.053	2479.8	-0.10134	undefined	undefined	supercritical
298.00	4830.0	30.691	0.032583	5.8744	21.820	25.183	36.888	47.057	2482.7	-0.10132	undefined	undefined	supercritical
298.00	4845.0	30.711	0.032562	5.8748	21.860	25.150	36.901	47.061	2485.7	-0.10129	undefined	undefined	supercritical
298.00	4860.0	30.730	0.032541	5.8752	21.900	25.117	36.914	47.066	2488.6	-0.10126	undefined	undefined	supercritical
298.00	4875.0	30.750	0.032521	5.8756	21.940	25.085	36.927	47.070	2491.5	-0.10123	undefined	undefined	supercritical
298.00	4890.0	30.769	0.032500	5.8761	21.979	25.052	36.940	47.074	2494.4	-0.10120	undefined	undefined	supercritical
298.00	4905.0	30.788	0.032480	5.8766	22.019	25.020	36.953	47.078	2497.3	-0.10117	undefined	undefined	supercritical
298.00	4920.0	30.808	0.032459	5.8770	22.059	24.987	36.966	47.082	2500.2	-0.10114	undefined	undefined	supercritical
298.00	4935.0	30.827	0.032439	5.8775	22.098	24.955	36.979	47.086	2503.1	-0.10111	undefined	undefined	supercritical
298.00	4950.0	30.846	0.032419	5.8780	22.138	24.923	36.992	47.090	2506.0	-0.10108	undefined	undefined	supercritical
298.00	4965.0	30.865	0.032399	5.8786	22.178	24.890	37.005	47.095	2508.9	-0.10105	undefined	undefined	supercritical
298.00	4980.0	30.885	0.032379	5.8791	22.217	24.858	37.018	47.099	2511.8	-0.10102	undefined	undefined	supercritical
298.00	4995.0	30.904	0.032359	5.8796	22.257	24.826	37.031	47.103	2514.6	-0.10099	undefined	undefined	supercritical
298.00	5010.0	30.923	0.032339	5.8802	22.297	24.794	37.044	47.107	2517.5	-0.10096	undefined	undefined	supercritical
298.00	5025.0	30.942	0.032319	5.8808	22.336	24.762	37.057	47.111	2520.3	-0.10093	undefined	undefined	supercritical
298.00	5040.0	30.961	0.032299	5.8814	22.376	24.731	37.070	47.116	2523.2	-0.10090	undefined	undefined	supercritical
298.00	5055.0	30.979	0.032279	5.8820	22.415	24.699	37.083	47.120	2526.0	-0.10087	undefined	undefined	supercritical
298.00	5070.0	30.998	0.032260	5.8826	22.455	24.667	37.095	47.124	2528.9	-0.10084	undefined	undefined	supercritical
298.00	5085.0	31.017	0.032240	5.8833	22.495	24.635	37.108	47.128	2531.7	-0.10081	undefined	undefined	supercritical
298.00	5100.0	31.036	0.032221	5.8839	22.534	24.604	37.121	47.133	2534.5	-0.10078	undefined	undefined	supercritical
298.00	5115.0	31.055	0.032201	5.8846	22.574	24.572	37.133	47.137	2537.4	-0.10075	undefined	undefined	supercritical
298.00	5130.0	31.073	0.032182	5.8852	22.613	24.541	37.146	47.141	2540.2	-0.10072	undefined	undefined	supercritical
298.00	5145.0	31.092	0.032163	5.8859	22.653	24.510	37.159	47.145	2543.0	-0.10069	undefined	undefined	supercritical
298.00	5160.0	31.110	0.032144	5.8866	22.693	24.478	37.171	47.150	2545.8	-0.10066	undefined	undefined	supercritical
298.00	5175.0	31.129	0.032124	5.8874	22.732	24.447	37.184	47.154	2548.6	-0.10063	undefined	undefined	supercritical
298.00	5190.0	31.147	0.032105	5.8881	22.772	24.416	37.197	47.158	2551.4	-0.10060	undefined	undefined	supercritical
298.00	5205.0	31.166	0.032086	5.8888	22.811	24.385	37.209	47.163	2554.2	-0.10057	undefined	undefined	supercritical
298.00	5220.0	31.184	0.032068	5.8896	22.851	24.354	37.222	47.167	2557.0	-0.10054	undefined	undefined	supercritical
298.00	5235.0	31.203	0.032049	5.8904	22.890	24.323	37.234	47.171	2559.7	-0.10050	undefined	undefined	supercritical
298.00	5250.0	31.221	0.032030	5.8911	22.930	24.292	37.247	47.176	2562.5	-0.10047	undefined	undefined	supercritical
298.00	5265.0	31.239	0.032011	5.8919	22.969	24.262	37.259	47.180	2565.3	-0.10044	undefined	undefined	supercritical
298.00	5280.0	31.257	0.031993	5.8928	23.009	24.231	37.271	47.184	2568.0	-0.10041	undefined	undefined	supercritical
298.00	5295.0	31.275	0.031974	5.8936	23.048	24.200	37.284	47.189	2570.8	-0.10038	undefined	undefined	supercritical
298.00	5310.0	31.294	0.031955	5.8944	23.088	24.170	37.296	47.193	2573.5	-0.10035	undefined	undefined	supercritical
298.00	5325.0	31.312	0.031937	5.8953	23.127	24.139	37.308	47.197	2576.3	-0.10032	undefined	undefined	supercritical
298.00	5340.0	31.330	0.031919	5.8961	23.167	24.109	37.321	47.202	2579.0	-0.10029	undefined	undefined	supercritical
298.00	5355.0	31.348	0.031900	5.8970	23.206	24.078	37.333	47.206	2581.7	-0.10026	undefined	undefined	supercritical
298.00	5370.0	31.366	0.031882	5.8979	23.245	24.048	37.345	47.210	2584.5	-0.10023	undefined	undefined	supercritical
298.00	5385.0	31.384	0.031864	5.8988	23.285	24.018	37.358	47.215	2587.2	-0.10020	undefined	undefined	supercritical
298.00	5400.0	31.401	0.031846	5.8997	23.324	23.988	37.370	47.219	2589.9	-0.10017	undefined	undefined	supercritical
298.00	5415.0	31.419	0.031828	5.9006	23.364	23.957	37.382	47.224	2592.6	-0.10014	undefined	undefined	supercritical
298.00	5430.0	31.437	0.031810	5.9016	23.403	23.927	37.394	47.228	2595.3	-0.10011	undefined	undefined	supercritical
298.00	5445.0	31.455	0.031792	5.9025	23.442	23.897	37.406	47.232	2598.0	-0.10008	undefined	undefined	supercritical
298.00	5460.0	31.472	0.031774	5.9035	23.482	23.867	37.419	47.237	2600.7	-0.10005	undefined	undefined	supercritical
298.00	5475.0	31.490	0.031756	5.9044	23.521	23.838	37.431	47.241	2603.4	-0.10002	undefined	undefined	supercritical
298.00	5490.0	31.508	0.031738	5.9054	23.561	23.808	37.443	47.246	2606.1	-0.099986	undefined	undefined	supercritical
298.00	5505.0	31.525	0.031721	5.9064	23.600	23.778	37.455	47.250	2608.8	-0.099955	undefined	undefined	supercritical
298.00	5520.0	31.543	0.031703	5.9074	23.639	23.748	37.467	47.254	2611.4	-0.099924	undefined	undefined	supercritical
298.00	5535.0	31.560	0.031685	5.9084	23.679	23.719	37.479	47.259	2614.1	-0.099894	undefined	undefined	supercritical
298.00	5550.0	31.578	0.031668	5.9095	23.718	23.689	37.491	47.263	2616.8	-0.099863	undefined	undefined	supercritical
298.00	5565.0	31.595	0.031650	5.9105	23.757	23.660	37.503	47.268	2619.4	-0.099832	undefined	undefined	supercritical
298.00	5580.0	31.613	0.031633	5.9116	23.797	23.630	37.515	47.272	2622.1	-0.099801	undefined	undefined	supercritical
298.00	5595.0	31.630	0.031616	5.9126	23.836	23.601	37.527	47.277	2624.7	-0.099771	undefined	undefined	supercritical
298.00	5610.0	31.647	0.031598	5.9137	23.875	23.572	37.539	47.281	2627.4	-0.099740	undefined	undefined	supercritical
298.00	5625.0	31.665	0.031581	5.9148	23.915	23.542	37.551	47.286	2630.0	-0.099709	undefined	undefined	supercritical
298.00	5640.0	31.682	0.031564	5.9159	23.954	23.513	37.562	47.290	2632.6	-0.099679	undefined	undefined	supercritical
298.00	5655.0	31.699	0.031547	5.9170	23.993	23.484	37.574	47.295	2635.3	-0.099648	undefined	undefined	supercritical
298.00	5670.0	31.716	0.031530	5.9181	24.032	23.455	37.586	47.299	2637.9	-0.099617	undefined	undefined	supercritical
298.00	5685.0	31.733	0.031513	5.9193	24.072	23.426	37.598	47.304	2640.5	-0.099586	undefined	undefined	supercritical
298.00	5700.0	31.750	0.031496	5.9204	24.111	23.397	37.610	47.308	2643.1	-0.099556	undefined	undefined	supercritical
298.00	5715.0	31.767	0.031479	5.9216	24.150	23.368	37.621	47.313	2645.7	-0.099525	undefined	undefined	supercritical
298.00	5730.0	31.784	0.031462	5.9228	24.189	23.339	37.633	47.317	2648.3	-0.099494	undefined	undefined	supercritical
298.00	5745.0	31.801	0.031445	5.9239	24.229	23.310	37.645	47.322	2650.9	-0.099463	undefined	undefined	supercritical
298.00	5760.0	31.818	0.031429	5.9251	24.268	23.282	37.657	47.326	2653.5	-0.099432	undefined	undefined	supercritical
298.00	5775.0	31.835	0.031412	5.9263	24.307	23.253	37.668	47.331	2656.1	-0.099402	undefined	undefined	supercritical
298.00	5790.0	31.852	0.031395	5.9275	24.346	23.224	37.680	47.335	2658.7	-0.099371	undefined	undefined	supercritical
298.00	5805.0	31.869	0.031379	5.9288	24.385	23.196	37.691	47.340	2661.3	-0.099340	undefined	undefined	supercritical
298.00	5820.0	31.886	0.031362	5.9300	24.425	23.167	37.703	47.344	2663.9	-0.099309	undefined	undefined	supercritical
298.00	5835.0	31.902	0.031346	5.9312	24.464	23.139	37.715	47.349	2666.4	-0.099279	undefined	undefined	supercritical
298.00	5850.0	31.919	0.031329	5.9325	24.503	23.111	37.726	47.353	2669.0	-0.099248	undefined	undefined	supercritical
298.00	5865.0	31.936	0.031313	5.9338	24.542	23.082	37.738	47.358	2671.6	-0.099217	undefined	undefined	supercritical
298.00	5880.0	31.952	0.031297	5.9350	24.581	23.054	37.749	47.362	2674.1	-0.099186	undefined	undefined	supercritical
298.00	5895.0	31.969	0.031280	5.9363	24.620	23.026	37.761	47.367	2676.7	-0.099155	undefined	undefined	supercritical
298.00	5910.0	31.986	0.031264	5.9376	24.660	22.997	37.772	47.371	2679.2	-0.099125	undefined	undefined	supercritical
298.00	5925.0	32.002	0.031248	5.9389	24.699	22.969	37.784	47.376	2681.8	-0.099094	undefined	undefined	supercritical
298.00	5940.0	32.019	0.031232	5.9402	24.738	22.941	37.795	47.381	2684.3	-0.099063	undefined	undefined	supercritical
298.00	5955.0	32.035	0.031216	5.9416	24.777	22.913	37.807	47.385	2686.8	-0.099032	undefined	undefined	supercritical
298.00	5970.0	32.051	0.031200	5.9429	24.816	22.885	37.818	47.390	2689.4	-0.099002	undefined	undefined	supercritical
298.00	5985.0	32.068	0.031184	5.9442	24.855	22.857	37.829	47.394	2691.9	-0.098971	undefined	undefined	supercritical
298.00	6000.0	32.084	0.031168	5.9456	24.894	22.830	37.841	47.399	2694.4	-0.098940	undefined	undefined	supercritical
298.00	6015.0	32.101	0.031152	5.9470	24.933	22.802	37.852	47.403	2696.9	-0.098909	undefined	undefined	supercritical
298.00	6030.0	32.117	0.031136	5.9484	24.972	22.774	37.864	47.408	2699.4	-0.098879	undefined	undefined	supercritical
298.00	6045.0	32.133	0.031121	5.9497	25.011	22.746	37.875	47.413	2701.9	-0.098848	undefined	undefined	supercritical
298.00	6060.0	32.149	0.031105	5.9511	25.050	22.719	37.886	47.417	2704.4	-0.098817	undefined	undefined	supercritical
298.00	6075.0	32.166	0.031089	5.9525	25.089	22.691	37.897	47.422	2706.9	-0.098786	undefined	undefined	supercritical
298.00	6090.0	32.182	0.031074	5.9540	25.128	22.664	37.909	47.426	2709.4	-0.098756	undefined	undefined	supercritical
298.00	6105.0	32.198	0.031058	5.9554	25.168	22.636	37.920	47.431	2711.9	-0.098725	undefined	undefined	supercritical
298.00	6120.0	32.214	0.031042	5.9568	25.207	22.609	37.931	47.436	2714.4	-0.098694	undefined	undefined	supercritical
298.00	6135.0	32.230	0.031027	5.9583	25.246	22.581	37.942	47.440	2716.9	-0.098664	undefined	undefined	supercritical
298.00	6150.0	32.246	0.031012	5.9597	25.285	22.554	37.954	47.445	2719.4	-0.098633	undefined	undefined	supercritical
298.00	6165.0	32.262	0.030996	5.9612	25.324	22.527	37.965	47.449	2721.8	-0.098602	undefined	undefined	supercritical
298.00	6180.0	32.278	0.030981	5.9627	25.363	22.499	37.976	47.454	2724.3	-0.098571	undefined	undefined	supercritical
298.00	6195.0	32.294	0.030966	5.9642	25.402	22.472	37.987	47.459	2726.8	-0.098541	undefined	undefined	supercritical
298.00	6210.0	32.310	0.030950	5.9656	25.440	22.445	37.998	47.463	2729.2	-0.098510	undefined	undefined	supercritical
298.00	6225.0	32.326	0.030935	5.9671	25.479	22.418	38.009	47.468	2731.7	-0.098479	undefined	undefined	supercritical
