Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	705.00	19.330	0.051734	7.4441	11.140	42.650	31.116	49.667	1075.1	-0.058920	41.744	0.11660	supercritical
298.00	720.00	19.459	0.051391	7.4152	11.164	42.471	31.154	49.562	1086.9	-0.060781	42.253	0.11782	supercritical
298.00	735.00	19.585	0.051060	7.3872	11.190	42.295	31.191	49.461	1098.5	-0.062543	42.757	0.11903	supercritical
298.00	750.00	19.708	0.050741	7.3599	11.216	42.123	31.228	49.365	1109.9	-0.064213	43.257	0.12022	supercritical
298.00	765.00	19.828	0.050434	7.3334	11.243	41.954	31.265	49.272	1121.2	-0.065798	43.754	0.12141	supercritical
298.00	780.00	19.945	0.050137	7.3075	11.270	41.789	31.302	49.183	1132.3	-0.067302	44.246	0.12258	supercritical
298.00	795.00	20.060	0.049850	7.2822	11.298	41.628	31.338	49.098	1143.3	-0.068733	44.735	0.12375	supercritical
298.00	810.00	20.173	0.049572	7.2576	11.326	41.470	31.374	49.016	1154.1	-0.070094	45.220	0.12490	supercritical
298.00	825.00	20.283	0.049304	7.2336	11.355	41.314	31.410	48.938	1164.8	-0.071389	45.702	0.12605	supercritical
298.00	840.00	20.390	0.049043	7.2102	11.384	41.162	31.446	48.863	1175.3	-0.072624	46.181	0.12719	supercritical
298.00	855.00	20.496	0.048791	7.1873	11.414	41.013	31.482	48.790	1185.7	-0.073802	46.657	0.12832	supercritical
298.00	870.00	20.599	0.048546	7.1650	11.444	40.866	31.517	48.721	1195.9	-0.074926	47.130	0.12944	supercritical
298.00	885.00	20.701	0.048308	7.1431	11.475	40.722	31.552	48.653	1206.0	-0.076000	47.600	0.13056	supercritical
298.00	900.00	20.800	0.048077	7.1218	11.506	40.580	31.587	48.589	1216.0	-0.077026	48.068	0.13167	supercritical
298.00	915.00	20.898	0.047852	7.1009	11.537	40.440	31.621	48.527	1225.9	-0.078007	48.532	0.13277	supercritical
298.00	930.00	20.994	0.047634	7.0805	11.569	40.303	31.656	48.467	1235.7	-0.078946	48.995	0.13386	supercritical
298.00	945.00	21.088	0.047421	7.0605	11.601	40.168	31.690	48.409	1245.3	-0.079845	49.455	0.13495	supercritical
298.00	960.00	21.180	0.047214	7.0409	11.634	40.036	31.724	48.353	1254.8	-0.080706	49.913	0.13603	supercritical
298.00	975.00	21.271	0.047012	7.0218	11.666	39.905	31.757	48.300	1264.3	-0.081532	50.368	0.13711	supercritical
298.00	990.00	21.360	0.046815	7.0030	11.699	39.776	31.791	48.248	1273.6	-0.082324	50.822	0.13818	supercritical
298.00	1005.0	21.448	0.046624	6.9847	11.732	39.650	31.824	48.198	1282.8	-0.083084	51.273	0.13924	supercritical
298.00	1020.0	21.535	0.046436	6.9667	11.766	39.525	31.857	48.149	1291.9	-0.083814	51.723	0.14030	supercritical
298.00	1035.0	21.620	0.046253	6.9490	11.800	39.402	31.890	48.103	1300.9	-0.084515	52.170	0.14135	supercritical
298.00	1050.0	21.704	0.046075	6.9317	11.834	39.280	31.923	48.057	1309.8	-0.085188	52.616	0.14240	supercritical
298.00	1065.0	21.786	0.045900	6.9147	11.868	39.161	31.955	48.014	1318.6	-0.085836	53.060	0.14344	supercritical
298.00	1080.0	21.868	0.045730	6.8981	11.902	39.043	31.987	47.972	1327.4	-0.086459	53.503	0.14448	supercritical
298.00	1095.0	21.948	0.045563	6.8817	11.937	38.926	32.019	47.931	1336.0	-0.087058	53.943	0.14551	supercritical
298.00	1110.0	22.026	0.045400	6.8657	11.972	38.811	32.051	47.891	1344.6	-0.087635	54.383	0.14654	supercritical
298.00	1125.0	22.104	0.045240	6.8500	12.007	38.698	32.083	47.853	1353.0	-0.088191	54.821	0.14756	supercritical
298.00	1140.0	22.181	0.045084	6.8346	12.042	38.586	32.114	47.816	1361.4	-0.088726	55.257	0.14858	supercritical
298.00	1155.0	22.256	0.044931	6.8194	12.078	38.475	32.146	47.780	1369.7	-0.089242	55.692	0.14959	supercritical
298.00	1170.0	22.331	0.044781	6.8045	12.113	38.366	32.177	47.745	1378.0	-0.089739	56.126	0.15060	supercritical
298.00	1185.0	22.404	0.044634	6.7899	12.149	38.258	32.208	47.712	1386.1	-0.090218	56.558	0.15161	supercritical
298.00	1200.0	22.477	0.044490	6.7755	12.185	38.151	32.238	47.679	1394.2	-0.090681	56.990	0.15261	supercritical
298.00	1215.0	22.549	0.044349	6.7614	12.221	38.046	32.269	47.648	1402.2	-0.091127	57.420	0.15361	supercritical
298.00	1230.0	22.619	0.044210	6.7475	12.257	37.942	32.299	47.617	1410.1	-0.091557	57.849	0.15460	supercritical
298.00	1245.0	22.689	0.044074	6.7339	12.294	37.839	32.329	47.587	1418.0	-0.091973	58.277	0.15559	supercritical
298.00	1260.0	22.758	0.043940	6.7205	12.330	37.737	32.359	47.559	1425.7	-0.092374	58.703	0.15657	supercritical
298.00	1275.0	22.826	0.043809	6.7073	12.367	37.636	32.389	47.531	1433.5	-0.092762	59.129	0.15756	supercritical
298.00	1290.0	22.893	0.043681	6.6944	12.404	37.537	32.419	47.504	1441.1	-0.093137	59.554	0.15854	supercritical
298.00	1305.0	22.960	0.043554	6.6816	12.441	37.438	32.448	47.478	1448.7	-0.093499	59.978	0.15951	supercritical
298.00	1320.0	23.026	0.043430	6.6691	12.478	37.341	32.477	47.452	1456.2	-0.093849	60.401	0.16048	supercritical
298.00	1335.0	23.090	0.043308	6.6567	12.515	37.244	32.506	47.427	1463.7	-0.094187	60.824	0.16145	supercritical
298.00	1350.0	23.155	0.043188	6.6446	12.552	37.149	32.535	47.403	1471.1	-0.094514	61.245	0.16242	supercritical
298.00	1365.0	23.218	0.043070	6.6327	12.590	37.054	32.564	47.380	1478.4	-0.094831	61.666	0.16338	supercritical
298.00	1380.0	23.281	0.042954	6.6209	12.627	36.961	32.593	47.358	1485.7	-0.095137	62.086	0.16434	supercritical
298.00	1395.0	23.343	0.042840	6.6094	12.665	36.868	32.621	47.336	1492.9	-0.095433	62.505	0.16530	supercritical
298.00	1410.0	23.404	0.042728	6.5980	12.702	36.776	32.649	47.314	1500.1	-0.095719	62.923	0.16625	supercritical
298.00	1425.0	23.465	0.042617	6.5868	12.740	36.685	32.678	47.294	1507.2	-0.095997	63.341	0.16720	supercritical
298.00	1440.0	23.525	0.042508	6.5758	12.778	36.596	32.706	47.274	1514.2	-0.096265	63.759	0.16815	supercritical
298.00	1455.0	23.584	0.042401	6.5649	12.816	36.506	32.733	47.254	1521.2	-0.096525	64.175	0.16910	supercritical
298.00	1470.0	23.643	0.042296	6.5542	12.854	36.418	32.761	47.235	1528.2	-0.096777	64.591	0.17004	supercritical
298.00	1485.0	23.701	0.042192	6.5437	12.892	36.331	32.789	47.217	1535.1	-0.097021	65.007	0.17098	supercritical
298.00	1500.0	23.759	0.042090	6.5334	12.930	36.244	32.816	47.199	1541.9	-0.097257	65.422	0.17192	supercritical
298.00	1515.0	23.816	0.041989	6.5231	12.969	36.158	32.843	47.181	1548.7	-0.097486	65.836	0.17285	supercritical
298.00	1530.0	23.872	0.041890	6.5131	13.007	36.073	32.870	47.165	1555.5	-0.097707	66.250	0.17379	supercritical
298.00	1545.0	23.928	0.041792	6.5032	13.046	35.988	32.897	47.148	1562.2	-0.097922	66.664	0.17472	supercritical
298.00	1560.0	23.984	0.041695	6.4934	13.084	35.905	32.924	47.132	1568.8	-0.098130	67.077	0.17564	supercritical
298.00	1575.0	24.038	0.041600	6.4838	13.123	35.822	32.951	47.117	1575.4	-0.098331	67.490	0.17657	supercritical
298.00	1590.0	24.093	0.041506	6.4743	13.161	35.740	32.977	47.102	1582.0	-0.098527	67.902	0.17749	supercritical
298.00	1605.0	24.147	0.041414	6.4650	13.200	35.658	33.004	47.087	1588.5	-0.098716	68.315	0.17841	supercritical
298.00	1620.0	24.200	0.041323	6.4558	13.239	35.577	33.030	47.073	1595.0	-0.098900	68.726	0.17933	supercritical
298.00	1635.0	24.253	0.041233	6.4467	13.278	35.497	33.056	47.059	1601.4	-0.099077	69.138	0.18025	supercritical
298.00	1650.0	24.305	0.041144	6.4378	13.316	35.417	33.082	47.046	1607.8	-0.099250	69.549	0.18117	supercritical
298.00	1665.0	24.357	0.041056	6.4290	13.355	35.338	33.108	47.033	1614.1	-0.099417	69.960	0.18208	supercritical
298.00	1680.0	24.408	0.040970	6.4203	13.394	35.260	33.134	47.020	1620.4	-0.099579	70.370	0.18299	supercritical
298.00	1695.0	24.459	0.040884	6.4117	13.433	35.182	33.159	47.008	1626.7	-0.099736	70.781	0.18390	supercritical
